Member,Mass,Width,Length,Thick.,Top,Bottom,Dia.,Flange,Web,Moment,Moment,Shear
200UB,18.2,130,350,16,4,4,16,5,8,52,52,92
200UB,22.3,150,360,16,4,4,16,5,8,65,65,105
200UB,25.4,150,360,16,4,4,16,6,8,65,65,122
200UB,29.8,150,360,16,4,4,16,10,6,67,67,135
250UB,25.7,150,400,16,4,4,16,6,8,81,81,129
250UB,31.4,180,410,16,4,4,16,6,8,85,85,159
250UB,37.3,180,410,16,4,4,16,10,6,87,87,170
310UB,32,180,450,16,4,4,16,6,8,102,102,170
310UB,40.4,180,460,16,4,4,16,10,6,105,105,192
310UB,46.2,180,490,20,4,4,20,10,6,167,167,213
360UB,44.7,200,540,16,4,4,20,10,8,176,176,252
360UB,50.7,200,540,16,4,4,20,10,8,178,178,269
360UB,56.7,200,540,16,4,4,20,12,8,180,180,298
410UB,53.7,200,590,16,4,4,20,10,8,203,203,317
410UB,59.7,200,590,16,4,4,20,12,8,205,205,328
460UB,67.1,200,640,16,4,4,20,12,8,231,231,370
460UB,74.6,200,640,20,4,4,20,BW,10,251,251,370
460UB,82.1,250,640,20,4,4,20,10,BW,262,262,370
530UB,82,250,710,20,4,4,20,10,12,317,317,370
530UB,92.4,250,750,25,4,4,24,BW,10,409,409,532
610UB,101,250,820,25,4,4,24,BW,10,465,465,532
610UB,113,250,820,25,4,4,24,10,BW,468,468,532
610UB,125,250,830,25,4,4,24,BW,10,471,471,532
250UC,72.9,270,470,20,4,4,24,12,10,176,176,226
250UC,89.5,270,470,25,4,4,24,BW,10,190,190,283
310UC,96.8,320,550,25,4,4,30,12,BW,335,335,316
310UC,118,320,560,25,4,4,30,10,BW,341,341,364
310UC,137,320,570,32,4,4,30,BW,12,391,391,431
310UC,158,330,570,32,4,4,36,BW,BW,533,533,499
700WB,115,270,910,25,4,4,24,10,BW,545,545,532
700WB,130,270,910,20,6,4,24,BW,10,660,479,532
700WB,150,270,920,25,4,6,24,10,BW,769,556,532
700WB,173,300,960,25,4,6,30,BW,10,1028,764,663
800WB,122,270,1010,20,4,6,24,BW,10,764,546,532
800WB,146,300,1010,20,6,4,24,10,BW,789,564,532
800WB,168,300,1050,25,6,4,30,BW,10,1191,871,763
800WB,192,310,1060,25,4,6,30,BW,10,1199,879,763
900WB,175,310,1140,25,4,6,30,12,BW,1349,977,856
